サウナ,電話番号
スパ・アルプス,+81 76-491-5510
The Hive SAUNA,+81 70-8813-6905
サウナタロ トヤマ,+81 76-444-0261
湯屋 FUROBAKKA,+81 765-56-5026
高原鉱泉,+81 76-423-5471
TATEYAMA SAUNA,+81 90-9443-7819
天然温泉 風の森,+81 766-92-2626
天然温泉 海王,+81 766-82-7777
SAUNA CNOC,+81 80-9060-0047
平ふれあい温泉センター ゆ〜楽,+81 763-66-2005
37BASE,+81 763-82-5570
天然温泉剱の湯 御宿 野乃,+81 76-421-5489
レヴォ TOYAMA,+81 763-68-2115
陽だまりの湯,+81 766-27-8800
スパ・バルナージュ,+81 765-24-4411
辻わくわくランド,+81 765-24-7447
アパホテルステイ〈富山〉,+81 570-009-911
満天の湯 富山店,+81 76-422-5526
湯めごこち,+81 76-464-2600
川合田温泉 サウナ部,+81 763-52-0821
SAUNA da SAUNA（OTAYA TOMOS）,+81 766-24-9229
太閤山天然温泉 太閤の湯,+81 766-56-2345
ひかりランド大門の湯,+81 766-53-1844
ゆ～ゆうランド・花椿,+81 763-64-2288
民宿あおまさ,+81 766-91-5157
氷見温泉郷 総湯,+81 766-74-2611
らくち～の,+81 765-82-0990
光明石温泉 福岡の湯,+81 766-64-6486
金太郎温泉 カルナの館,+81 765-24-1220
天然温泉 剱の湯 ドーミーイン富山,+81 76-420-0005
ひかりランド,+81 763-22-4270
まちなか天然温泉ゆくりえ,+81 76-420-1126
満天の湯 魚津店,+81 765-24-4126
開発鉱泉,+81 76-429-2338
滑川市民交流プラザ あいらぶ湯,+81 76-476-5500
越乃庭,+81 766-44-7739
いなり鉱泉,+81 76-432-0185
ゆハウス となみのゆ,+81 763-33-6811
